                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.98077,                0.53089,                0.95778,                0.50536,                0.59592,                0.44098,                0.31834,                 1.2273,                 1.2124,                 1.0506,             0.00019022,             0.00019022,             0.00019022
                     84,                0.96708,                 0.5258,                0.95071,                0.50384,                0.61296,                0.43597,                0.31402,                 1.2264,                 1.1677,                 1.0508,             0.00018537,             0.00018537,             0.00018537
                     85,                0.97257,                0.52095,                0.95223,                0.51307,                0.62208,                0.44319,                0.31802,                 1.2293,                 1.1487,                 1.0525,             0.00018052,             0.00018052,             0.00018052
                     86,                 0.9763,                0.52976,                0.95023,                0.52181,                0.59435,                0.44246,                0.31766,                 1.2272,                 1.1595,                 1.0545,             0.00017566,             0.00017566,             0.00017566
                     87,                0.97675,                0.52468,                0.95579,                0.52153,                0.60288,                0.44379,                0.32031,                  1.228,                 1.1584,                 1.0499,             0.00017081,             0.00017081,             0.00017081
                     88,                0.97672,                0.52911,                0.95375,                0.49266,                0.61098,                0.43799,                0.31544,                 1.2262,                 1.1839,                 1.0527,             0.00016596,             0.00016596,             0.00016596
                     89,                0.96949,                0.52273,                0.95374,                0.49521,                0.60243,                0.43315,                0.31099,                 1.2236,                 1.1956,                 1.0505,             0.00016111,             0.00016111,             0.00016111
                     90,                0.96243,                0.51833,                0.95061,                 0.4942,                0.60632,                0.44489,                 0.3226,                 1.2242,                 1.1875,                  1.051,             0.00015626,             0.00015626,             0.00015626
                     91,                0.96391,                0.51891,                0.95159,                0.51236,                0.60733,                0.44854,                0.32445,                 1.2241,                  1.179,                 1.0484,             0.00015141,             0.00015141,             0.00015141
                     92,                0.95651,                0.51217,                0.94906,                0.51731,                0.59262,                0.44064,                 0.3185,                  1.225,                 1.1944,                 1.0532,             0.00014656,             0.00014656,             0.00014656
                     93,                0.95157,                   0.51,                0.94605,                0.51357,                0.59186,                0.44113,                0.31886,                 1.2226,                 1.1855,                 1.0506,             0.00014171,             0.00014171,             0.00014171
                     94,                0.96473,                0.51977,                0.95256,                 0.5081,                0.60978,                0.44812,                0.32405,                 1.2233,                 1.1471,                 1.0518,             0.00013686,             0.00013686,             0.00013686
                     95,                0.95409,                0.50728,                0.94376,                 0.5131,                0.61622,                0.45404,                0.32829,                 1.2252,                  1.183,                 1.0525,             0.00013201,             0.00013201,             0.00013201
                     96,                 0.9613,                0.51202,                0.94882,                0.52656,                 0.5864,                 0.4446,                0.32121,                 1.2232,                 1.1698,                 1.0505,             0.00012716,             0.00012716,             0.00012716
                     97,                0.95673,                 0.5102,                0.94918,                0.52408,                 0.6027,                0.44674,                0.32292,                 1.2252,                 1.1526,                  1.053,              0.0001223,              0.0001223,              0.0001223
                     98,                 0.9552,                0.51013,                0.94674,                 0.5058,                0.60975,                0.44275,                0.31865,                 1.2264,                 1.1765,                 1.0541,             0.00011745,             0.00011745,             0.00011745
                     99,                0.95068,                0.50943,                0.94499,                0.50511,                0.60875,                0.44895,                0.32595,                 1.2216,                 1.1798,                 1.0522,              0.0001126,              0.0001126,              0.0001126
                    100,                0.96516,                0.51145,                0.95091,                 0.5058,                0.60457,                0.44561,                 0.3229,                 1.2207,                 1.1834,                 1.0499,             0.00010775,             0.00010775,             0.00010775
                    101,                0.94449,                0.50581,                0.94361,                0.51355,                0.60288,                0.43766,                0.31762,                 1.2198,                 1.2281,                 1.0513,              0.0001029,              0.0001029,              0.0001029
                    102,                0.94515,                0.49851,                 0.9452,                 0.5318,                0.57912,                0.43767,                0.31636,                 1.2203,                 1.1759,                 1.0527,             9.8049e-05,             9.8049e-05,             9.8049e-05
                    103,                 0.9517,                0.50229,                0.94908,                0.51508,                0.59204,                0.44193,                0.31957,                 1.2219,                 1.1955,                 1.0508,             9.3198e-05,             9.3198e-05,             9.3198e-05
                    104,                0.94387,                0.50301,                0.94565,                 0.5081,                 0.6038,                0.44072,                0.31873,                 1.2216,                 1.2247,                  1.052,             8.8347e-05,             8.8347e-05,             8.8347e-05
                    105,                0.93949,                0.49562,                0.94023,                 0.5116,                0.60812,                0.44315,                0.32136,                 1.2196,                 1.2166,                 1.0525,             8.3496e-05,             8.3496e-05,             8.3496e-05
                    106,                0.94575,                0.49542,                0.94739,                0.51811,                0.60652,                0.44611,                0.32301,                 1.2215,                 1.1754,                 1.0517,             7.8645e-05,             7.8645e-05,             7.8645e-05
                    107,                0.95015,                0.50326,                0.94721,                0.52149,                0.60327,                0.44337,                0.32152,                 1.2245,                 1.2102,                  1.052,             7.3794e-05,             7.3794e-05,             7.3794e-05
                    108,                0.93515,                0.49546,                 0.9401,                0.51892,                0.60394,                0.44018,                 0.3191,                 1.2196,                 1.1898,                 1.0518,             6.8943e-05,             6.8943e-05,             6.8943e-05
                    109,                0.94319,                0.49901,                0.94416,                0.52331,                0.60064,                0.43964,                0.31856,                 1.2219,                 1.2146,                 1.0527,             6.4092e-05,             6.4092e-05,             6.4092e-05
                    110,                0.94791,                0.49995,                0.94412,                0.51616,                0.61558,                0.43803,                0.31584,                 1.2202,                 1.2047,                 1.0521,             5.9241e-05,             5.9241e-05,             5.9241e-05
                    111,                0.93607,                0.46394,                0.94348,                0.52212,                0.60147,                0.43108,                0.30989,                  1.224,                 1.2099,                 1.0532,              5.439e-05,              5.439e-05,              5.439e-05
                    112,                0.93118,                0.45615,                0.94672,                0.50014,                0.62125,                0.43317,                0.31236,                 1.2219,                 1.2014,                 1.0533,             4.9539e-05,             4.9539e-05,             4.9539e-05
                    113,                0.92805,                0.45473,                0.94379,                0.50464,                0.61116,                0.43347,                0.31438,                 1.2209,                 1.2121,                 1.0522,             4.4688e-05,             4.4688e-05,             4.4688e-05
                    114,                0.92137,                0.45053,                0.94222,                0.50431,                 0.6048,                  0.435,                0.31498,                 1.2208,                 1.2284,                 1.0532,             3.9837e-05,             3.9837e-05,             3.9837e-05
                    115,                0.92163,                   0.45,                0.94296,                0.51574,                0.59694,                0.43218,                0.31241,                 1.2206,                 1.2264,                 1.0529,             3.4986e-05,             3.4986e-05,             3.4986e-05
                    116,                0.91856,                0.44548,                0.94111,                0.51164,                0.60799,                0.43671,                0.31562,                 1.2208,                  1.214,                 1.0523,             3.0135e-05,             3.0135e-05,             3.0135e-05
                    117,                0.91171,                 0.4445,                0.93831,                0.51522,                0.60112,                0.43353,                0.31382,                 1.2208,                 1.2246,                 1.0529,             2.5284e-05,             2.5284e-05,             2.5284e-05
                    118,                0.91173,                0.44353,                 0.9355,                0.52056,                0.60264,                0.43874,                0.31824,                 1.2205,                 1.2139,                 1.0524,             2.0433e-05,             2.0433e-05,             2.0433e-05
                    119,                0.91206,                0.44074,                0.93687,                0.52025,                0.60056,                0.43523,                0.31559,                 1.2201,                 1.2293,                 1.0519,             1.5582e-05,             1.5582e-05,             1.5582e-05
                    120,                0.91342,                0.44244,                0.93634,                0.51975,                0.59976,                0.43514,                0.31613,                 1.2199,                 1.2352,                 1.0513,             1.0731e-05,             1.0731e-05,             1.0731e-05
